,annotation_id,annotator,created_at,id,image,label,lead_time,updated_at
54,55,1,2023-07-21T15:44:24.996708Z,55,gs75589_Frame_63.jpg,"[{""x"":43.72623574144487,""y"":34.64300802703845,""width"":10.456273764258555,""height"":13.3502323616392,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":76.71102661596959,""y"":39.88170680185889,""width"":5.418250950570339,""height"":8.280523869877484,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",12.992,2023-07-21T15:44:24.996747Z
55,56,1,2023-07-21T15:44:36.537063Z,56,gs75589_Frame_64.jpg,"[{""x"":42.49049429657795,""y"":34.305027460920996,""width"":9.980988593155892,""height"":12.84326151246303,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":75.76045627376425,""y"":38.698774820447824,""width"":4.657794676806105,""height"":8.449514152936203,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",10.87,2023-07-21T15:44:36.537101Z
56,57,1,2023-07-21T15:44:50.186393Z,57,gs75589_Frame_65.jpg,"[{""x"":40.969581749049425,""y"":31.77017321504014,""width"":10.2661596958175,""height"":14.702154626109,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":74.7148288973384,""y"":38.02281368821293,""width"":5.51330798479087,""height"":9.125475285171099,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",12.939,2023-07-21T15:44:50.186429Z
57,58,1,2023-07-21T15:45:08.648288Z,58,gs75589_Frame_66.jpg,"[{""x"":38.87832699619772,""y"":34.305027460920996,""width"":11.216730038022817,""height"":13.012251795521763,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":73.47908745247148,""y"":38.698774820447824,""width"":5.798479087452478,""height"":8.787494719053655,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",17.935,2023-07-21T15:45:08.648321Z
58,59,1,2023-07-21T15:45:26.712883Z,59,gs75589_Frame_67.jpg,"[{""x"":38.11787072243346,""y"":33.460076045627375,""width"":9.980988593155892,""height"":13.181242078580482,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":72.90874524714829,""y"":38.5297845373891,""width"":4.752851711026622,""height"":8.95648500211238,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",17.561,2023-07-21T15:45:26.712919Z
59,60,1,2023-07-21T15:45:37.612888Z,60,gs75589_Frame_68.jpg,"[{""x"":36.40684410646388,""y"":32.27714406421631,""width"":11.121673003802279,""height"":15.20912547528517,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":71.7680608365019,""y"":38.02281368821293,""width"":5.418250950570339,""height"":9.46345585128855,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",10.443,2023-07-21T15:45:37.612922Z
60,61,1,2023-07-21T15:45:48.161112Z,61,gs75589_Frame_69.jpg,"[{""x"":36.59695817490494,""y"":33.6290663286861,""width"":10.456273764258555,""height"":14.026193493874104,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":71.57794676806084,""y"":37.8538234051542,""width"":5.608365019011401,""height"":9.801436417406002,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",10.101,2023-07-21T15:45:48.161147Z
61,62,1,2023-07-21T15:45:57.804185Z,62,gs75589_Frame_70.jpg,"[{""x"":37.3574144486692,""y"":33.798056611744826,""width"":10.931558935361217,""height"":14.364174059991548,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":73.28897338403041,""y"":38.86776510350655,""width"":5.513307984790885,""height"":9.294465568229825,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",9.096,2023-07-21T15:45:57.804220Z
62,63,1,2023-07-21T15:46:08.913740Z,63,gs75589_Frame_71.jpg,"[{""x"":38.11787072243346,""y"":33.96704689480355,""width"":10.076045627376423,""height"":14.026193493874096,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":73.09885931558935,""y"":38.698774820447824,""width"":6.273764258555133,""height"":10.139416983523446,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",10.553,2023-07-21T15:46:08.913779Z
63,64,1,2023-07-21T15:46:16.413413Z,64,gs75589_Frame_72.jpg,"[{""x"":38.78326996197718,""y"":33.460076045627375,""width"":12.07224334600761,""height"":16.223067173637517,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720}]",6.975,2023-07-21T15:46:16.413444Z
64,65,1,2023-07-21T15:46:25.237522Z,65,gs75589_Frame_73.jpg,"[{""x"":38.21292775665399,""y"":32.10815378115758,""width"":12.547528517110266,""height"":16.392057456696243,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720}]",8.266,2023-07-21T15:46:25.237556Z
65,66,1,2023-07-21T15:46:35.431744Z,66,gs75589_Frame_74.jpg,"[{""x"":38.68821292775665,""y"":31.93916349809886,""width"":12.547528517110273,""height"":16.561047739754965,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":75.2851711026616,""y"":38.19180397127165,""width"":5.893536121673009,""height"":9.294465568229825,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",9.596,2023-07-21T15:46:35.431780Z
66,67,1,2023-07-21T15:47:03.800712Z,67,gs75589_Frame_75.jpg,"[{""x"":38.11787072243346,""y"":31.09421208280524,""width"":13.21292775665399,""height"":16.89902830587241,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":75.66539923954373,""y"":37.00887198986058,""width"":5.038022813688215,""height"":10.477397549640898,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",27.877,2023-07-21T15:47:03.800744Z
67,68,1,2023-07-21T15:47:13.685039Z,68,gs75589_Frame_76.jpg,"[{""x"":39.163498098859314,""y"":30.756231516687794,""width"":12.832699619771866,""height"":17.068018588931135,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":76.14068441064639,""y"":37.684833122095476,""width"":5.893536121673009,""height"":10.139416983523454,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",9.223,2023-07-21T15:47:13.685077Z
68,69,1,2023-07-21T15:47:24.785256Z,69,gs75589_Frame_77.jpg,"[{""x"":40.3041825095057,""y"":31.09421208280524,""width"":14.543726235741453,""height"":18.081960287283483,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":77.9467680608365,""y"":38.5297845373891,""width"":6.844106463878333,""height"":10.308407266582172,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",10.576,2023-07-21T15:47:24.785292Z
69,70,1,2023-07-21T15:47:37.397104Z,70,gs75589_Frame_78.jpg,"[{""x"":42.68060836501901,""y"":28.7283481199831,""width"":14.92395437262357,""height"":19.940853400929445,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":80.70342205323195,""y"":38.19180397127165,""width"":7.129277566539912,""height"":10.815378115758342,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",12.064,2023-07-21T15:47:37.397140Z
70,71,1,2023-07-21T15:47:48.602913Z,71,gs75589_Frame_79.jpg,"[{""x"":44.67680608365019,""y"":29.57329953527672,""width"":14.353612167300376,""height"":19.095901985635823,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":82.88973384030417,""y"":38.698774820447824,""width"":6.083650190114071,""height"":10.477397549640898,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",10.597,2023-07-21T15:47:48.602952Z
71,72,1,2023-07-21T15:47:59.332342Z,72,gs75589_Frame_80.jpg,"[{""x"":44.48669201520912,""y"":29.57329953527672,""width"":14.06844106463879,""height"":18.419940853400927,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":82.60456273764258,""y"":38.36079425433038,""width"":6.844106463878333,""height"":11.322348964934513,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",10.303,2023-07-21T15:47:59.332378Z
72,73,1,2023-07-21T15:48:10.542553Z,73,gs75589_Frame_81.jpg,"[{""x"":43.06083650190114,""y"":29.235318969159273,""width"":13.973384030418245,""height"":20.109843683988174,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":81.74904942965779,""y"":38.86776510350655,""width"":6.463878326996209,""height"":11.322348964934513,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",10.686,2023-07-21T15:48:10.542588Z
73,74,1,2023-07-21T15:48:21.507788Z,74,gs75589_Frame_82.jpg,"[{""x"":41.254752851711025,""y"":29.235318969159273,""width"":15.114068441064639,""height"":20.785804816223063,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":80.89353612167301,""y"":38.698774820447824,""width"":6.273764258555133,""height"":11.153358681875794,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",10.409,2023-07-21T15:48:21.507826Z
74,75,1,2023-07-21T15:48:32.925855Z,75,gs75589_Frame_83.jpg,"[{""x"":39.258555133079845,""y"":28.7283481199831,""width"":15.77946768060837,""height"":19.940853400929445,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":80.32319391634981,""y"":38.19180397127165,""width"":5.51330798479087,""height"":10.47739754964089,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",10.902,2023-07-21T15:48:32.925890Z
75,76,1,2023-07-21T15:48:43.060664Z,76,gs75589_Frame_84.jpg,"[{""x"":39.06844106463878,""y"":28.052386987748207,""width"":15.399239543726239,""height"":21.29277566539924,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":79.94296577946768,""y"":38.02281368821293,""width"":6.178707224334602,""height"":10.984368398817068,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",9.546,2023-07-21T15:48:43.060698Z
76,77,1,2023-07-21T15:48:53.975952Z,77,gs75589_Frame_85.jpg,"[{""x"":38.11787072243346,""y"":28.052386987748207,""width"":16.920152091254756,""height"":21.630756231516685,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":79.75285171102662,""y"":38.02281368821293,""width"":6.749049429657788,""height"":10.984368398817068,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",10.418,2023-07-21T15:48:53.975985Z
77,78,1,2023-07-21T15:49:04.978562Z,78,gs75589_Frame_86.jpg,"[{""x"":39.06844106463878,""y"":27.714406421630756,""width"":16.730038022813687,""height"":21.630756231516692,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":80.98859315589354,""y"":38.5297845373891,""width"":6.368821292775664,""height"":10.81537811575835,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",10.534,2023-07-21T15:49:04.978601Z
78,79,1,2023-07-21T15:49:16.263505Z,79,gs75589_Frame_87.jpg,"[{""x"":42.11026615969582,""y"":25.686523024926068,""width"":16.159695817490494,""height"":22.137727080692862,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":84.22053231939164,""y"":37.17786227291931,""width"":5.608365019011416,""height"":12.674271229404305,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",10.728,2023-07-21T15:49:16.263538Z
79,80,1,2023-07-21T15:50:05.692104Z,80,gs75589_Frame_88.jpg,"[{""x"":42.585551330798474,""y"":24.841571609632446,""width"":18.726235741444874,""height"":25.855513307984793,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720}]",48.745,2023-07-21T15:50:05.692143Z
